stadium,gameday,temp_f,wind_mph,precip_in,snow_in,source
Mercedes-Benz Stadium,2021-10-31,55.0,25.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-10-31,58.6,25.5,0.201,0.0,open-meteo-archive
New Era Field,2021-10-31,50.7,38.5,0.079,0.0,open-meteo-archive
Soldier Field,2021-10-31,49.1,25.9,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-11-01,42.9,16.8,0.043,0.0,open-meteo-archive
Bank of America Stadium,2021-11-07,52.0,27.1,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-11-07,54.4,29.1,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-11-07,63.7,25.1,0.0,0.0,open-meteo-archive
Levi's Stadium,2021-11-07,54.6,20.6,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2021-11-07,43.1,14.5,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2021-11-07,45.1,17.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-11-07,44.3,12.8,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2021-11-07,46.1,10.3,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2021-11-07,54.1,29.5,0.122,0.0,open-meteo-archive
Heinz Field,2021-11-08,46.0,13.4,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-11-11,74.0,20.4,0.173,0.0,open-meteo-archive
Empower Field at Mile High,2021-11-14,47.6,16.6,0.0,0.0,open-meteo-archive
FedExField,2021-11-14,41.9,21.5,0.0,0.0,open-meteo-archive
Gillette Stadium,2021-11-14,42.7,36.7,0.035,0.0,open-meteo-archive
Heinz Field,2021-11-14,36.2,27.1,0.059,0.1846,open-meteo-archive
Lambeau Field,2021-11-14,33.6,27.7,0.004,0.6618,open-meteo-archive
MetLife Stadium,2021-11-14,42.4,29.1,0.0,0.0,open-meteo-archive
Nissan Stadium,2021-11-14,42.3,23.3,0.0,0.0,open-meteo-archive
Levi's Stadium,2021-11-15,58.1,17.4,0.0,0.0,open-meteo-archive
Bank of America Stadium,2021-11-21,45.2,15.4,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2021-11-21,41.2,21.7,0.157,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-11-21,47.0,25.7,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2021-11-21,44.3,15.0,0.0,0.0,open-meteo-archive
Lumen Field,2021-11-21,40.9,8.3,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-11-21,45.8,16.3,0.0,0.0,open-meteo-archive
New Era Field,2021-11-21,42.3,31.3,0.224,0.0,open-meteo-archive
Nissan Stadium,2021-11-21,48.8,19.5,0.902,0.0,open-meteo-archive
Soldier Field,2021-11-21,41.5,29.5,0.012,0.0,open-meteo-archive
TIAA Bank Stadium,2021-11-21,64.3,20.6,0.008,0.0,open-meteo-archive
Raymond James Stadium,2021-11-22,69.5,24.2,0.197,0.0,open-meteo-archive
Empower Field at Mile High,2021-11-28,43.0,15.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2021-11-28,31.1,21.0,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-11-28,64.1,15.0,0.0,0.0,open-meteo-archive
Lambeau Field,2021-11-28,30.8,29.5,0.0,0.0,open-meteo-archive
Levi's Stadium,2021-11-28,59.2,13.9,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2021-11-28,42.0,19.5,0.008,0.0,open-meteo-archive
MetLife Stadium,2021-11-28,35.1,16.1,0.0,0.152,open-meteo-archive
Paul Brown Stadium,2021-11-28,39.9,27.3,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2021-11-28,52.3,11.9,0.0,0.0,open-meteo-archive
FedExField,2021-11-29,40.7,34.2,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-12-05,51.7,32.4,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-12-05,71.3,17.2,0.0,0.0,open-meteo-archive
Heinz Field,2021-12-05,38.5,21.7,0.0,0.0,open-meteo-archive
Lumen Field,2021-12-05,40.5,18.8,0.094,0.0,open-meteo-archive
MetLife Stadium,2021-12-05,39.3,16.8,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2021-12-05,42.5,25.5,0.012,0.0,open-meteo-archive
Soldier Field,2021-12-05,37.9,25.1,0.157,0.0,open-meteo-archive
New Era Field,2021-12-06,46.1,58.8,0.531,0.0217,open-meteo-archive
Bank of America Stadium,2021-12-12,49.8,27.7,0.232,0.0,open-meteo-archive
Empower Field at Mile High,2021-12-12,39.7,12.5,0.0,0.0,open-meteo-archive
FedExField,2021-12-12,46.4,39.1,0.213,0.0,open-meteo-archive
FirstEnergy Stadium,2021-12-12,38.6,41.2,0.004,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-12-12,41.2,27.3,0.0,0.0,open-meteo-archive
Lambeau Field,2021-12-12,29.3,29.1,0.0,0.0,open-meteo-archive
MetLife Stadium,2021-12-12,48.0,41.6,0.161,0.0,open-meteo-archive
NRG Stadium,2021-12-12,50.0,20.6,0.0,0.0,open-meteo-archive
Nissan Stadium,2021-12-12,39.5,16.6,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2021-12-12,36.7,25.1,0.0,0.0,open-meteo-archive
Raymond James Stadium,2021-12-12,72.4,16.1,0.02,0.0,open-meteo-archive
State Farm Stadium,2021-12-13,55.5,8.7,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2021-12-19,34.9,15.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2021-12-19,73.3,23.7,0.606,0.0,open-meteo-archive
Heinz Field,2021-12-19,35.8,26.6,0.13,0.0,open-meteo-archive
Levi's Stadium,2021-12-19,46.4,17.0,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2021-12-19,45.7,26.4,0.051,0.0,open-meteo-archive
MetLife Stadium,2021-12-19,40.7,29.5,0.02,0.0,open-meteo-archive
New Era Field,2021-12-19,28.9,20.6,0.008,0.1736,open-meteo-archive
Raymond James Stadium,2021-12-19,72.2,22.1,0.165,0.0,open-meteo-archive
TIAA Bank Stadium,2021-12-19,70.7,24.8,0.039,0.0,open-meteo-archive
FirstEnergy Stadium,2021-12-20,33.2,20.8,0.0,0.0,open-meteo-archive
Soldier Field,2021-12-20,32.8,25.5,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2021-12-21,32.5,9.6,0.0,0.0,open-meteo-archive
Nissan Stadium,2021-12-23,38.0,16.3,0.0,0.0,open-meteo-archive
Lambeau Field,2021-12-25,34.2,19.7,0.004,0.0,open-meteo-archive
Bank of America Stadium,2021-12-26,62.8,28.0,0.008,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2021-12-26,46.5,36.0,0.012,0.0,open-meteo-archive
Gillette Stadium,2021-12-26,34.6,29.1,0.252,0.076,open-meteo-archive
Lincoln Financial Field,2021-12-26,49.7,20.4,0.067,0.0,open-meteo-archive
Lumen Field,2021-12-26,31.2,32.4,0.008,1.1933,open-meteo-archive
Mercedes-Benz Stadium,2021-12-26,63.1,21.5,0.008,0.0,open-meteo-archive
MetLife Stadium,2021-12-26,45.0,24.2,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2021-12-26,47.3,16.8,0.0,0.0,open-meteo-archive
FedExField,2022-01-02,59.2,32.2,0.665,0.0,open-meteo-archive
Gillette Stadium,2022-01-02,46.5,18.3,0.39,0.0,open-meteo-archive
Lambeau Field,2022-01-02,9.9,20.4,0.0,0.0,open-meteo-archive
Levi's Stadium,2022-01-02,45.8,16.6,0.0,0.0,open-meteo-archive
Lumen Field,2022-01-02,34.9,25.1,0.102,0.3039,open-meteo-archive
M&T Bank Stadium,2022-01-02,57.2,28.4,0.524,0.0,open-meteo-archive
MetLife Stadium,2022-01-02,51.0,32.7,0.98,0.0,open-meteo-archive
New Era Field,2022-01-02,29.1,23.9,0.134,0.998,open-meteo-archive
Nissan Stadium,2022-01-02,49.6,22.8,0.724,0.0543,open-meteo-archive
Paul Brown Stadium,2022-01-02,41.5,22.4,0.323,0.0,open-meteo-archive
Soldier Field,2022-01-02,26.2,38.7,0.0,0.7594,open-meteo-archive
Heinz Field,2022-01-03,27.1,23.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-01-08,28.9,16.1,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2022-01-08,22.5,23.7,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2022-01-09,37.6,41.6,0.22,0.0,open-meteo-archive
Hard Rock Stadium,2022-01-09,71.8,23.9,0.386,0.0,open-meteo-archive
M&T Bank Stadium,2022-01-09,33.6,24.2,0.232,0.0,open-meteo-archive
MetLife Stadium,2022-01-09,30.2,26.2,0.114,0.0,open-meteo-archive
New Era Field,2022-01-09,36.2,40.9,0.256,0.0433,open-meteo-archive
Raymond James Stadium,2022-01-09,70.7,22.8,0.004,0.0,open-meteo-archive
State Farm Stadium,2022-01-09,53.6,17.2,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2022-01-09,66.1,21.5,0.0,0.0,open-meteo-archive
New Era Field,2022-01-15,8.3,24.2,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2022-01-15,29.6,23.3,0.0,0.0866,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-01-16,22.1,22.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2022-01-16,65.2,45.6,0.531,0.0,open-meteo-archive
Lambeau Field,2022-01-22,16.1,32.4,0.0,0.1087,open-meteo-archive
Nissan Stadium,2022-01-22,24.2,10.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-01-23,35.8,28.6,0.0,0.0,open-meteo-archive
Raymond James Stadium,2022-01-23,48.5,22.8,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-01-30,35.2,15.2,0.0,0.0,open-meteo-archive
Bank of America Stadium,2022-09-11,74.6,16.6,0.283,0.0,open-meteo-archive
FedExField,2022-09-11,72.8,19.2,0.957,0.0,open-meteo-archive
Hard Rock Stadium,2022-09-11,81.5,18.1,0.437,0.0,open-meteo-archive
MetLife Stadium,2022-09-11,70.2,13.6,0.35,0.0,open-meteo-archive
Nissan Stadium,2022-09-11,71.5,21.0,0.803,0.0,open-meteo-archive
Paycor Stadium,2022-09-11,69.8,22.4,0.713,0.0,open-meteo-archive
Soldier Field,2022-09-11,68.9,50.1,1.524,0.0,open-meteo-archive
Lumen Field,2022-09-12,66.4,18.8,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-09-15,74.3,26.2,0.0,0.0,open-meteo-archive
Acrisure Stadium,2022-09-18,70.4,23.0,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-09-18,65.4,20.4,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2022-09-18,73.7,20.8,0.0,0.0,open-meteo-archive
Lambeau Field,2022-09-18,72.8,25.7,0.0,0.0,open-meteo-archive
Levi's Stadium,2022-09-18,65.5,33.8,0.37,0.0,open-meteo-archive
M&T Bank Stadium,2022-09-18,69.6,13.2,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-09-18,71.6,22.8,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2022-09-18,76.1,22.4,0.512,0.0,open-meteo-archive
Lincoln Financial Field,2022-09-19,74.5,26.2,0.0,0.0,open-meteo-archive
New Era Field,2022-09-19,68.8,34.7,0.894,0.0,open-meteo-archive
FirstEnergy Stadium,2022-09-22,64.4,35.6,0.083,0.0,open-meteo-archive
Bank of America Stadium,2022-09-25,67.6,25.5,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-09-25,60.8,19.7,0.0,0.0,open-meteo-archive
FedExField,2022-09-25,65.8,31.1,0.209,0.0,open-meteo-archive
Gillette Stadium,2022-09-25,57.6,25.1,0.024,0.0,open-meteo-archive
Hard Rock Stadium,2022-09-25,80.3,15.7,0.248,0.0,open-meteo-archive
Lucas Oil Stadium,2022-09-25,65.8,33.6,0.055,0.0,open-meteo-archive
Lumen Field,2022-09-25,61.7,25.3,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-09-25,62.4,23.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2022-09-25,72.4,27.7,0.201,0.0,open-meteo-archive
Raymond James Stadium,2022-09-25,77.7,18.1,0.067,0.0,open-meteo-archive
Soldier Field,2022-09-25,61.7,29.5,0.39,0.0,open-meteo-archive
MetLife Stadium,2022-09-26,64.8,28.4,0.012,0.0,open-meteo-archive
Paycor Stadium,2022-09-29,54.6,24.8,0.0,0.0,open-meteo-archive
Acrisure Stadium,2022-10-02,55.6,25.5,0.272,0.0,open-meteo-archive
Bank of America Stadium,2022-10-02,59.6,27.3,0.0,0.0,open-meteo-archive
Lambeau Field,2022-10-02,56.9,19.9,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2022-10-02,57.3,32.7,1.343,0.0,open-meteo-archive
Lucas Oil Stadium,2022-10-02,60.4,26.8,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2022-10-02,57.3,27.3,1.295,0.0,open-meteo-archive
Mercedes-Benz Stadium,2022-10-02,64.5,26.6,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-10-02,56.6,36.2,0.303,0.0,open-meteo-archive
Raymond James Stadium,2022-10-02,73.1,19.2,0.0,0.0,open-meteo-archive
Tottenham Stadium,2022-10-02,56.7,19.0,0.0,0.0,open-meteo-archive
Levi's Stadium,2022-10-03,63.5,25.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-10-06,56.2,13.4,0.0,0.0,open-meteo-archive
Bank of America Stadium,2022-10-09,57.3,16.8,0.0,0.0,open-meteo-archive
FedExField,2022-10-09,50.9,18.8,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2022-10-09,50.9,22.8,0.0,0.0,open-meteo-archive
Gillette Stadium,2022-10-09,48.9,26.8,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2022-10-09,50.0,18.8,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-10-09,50.8,23.0,0.0,0.0,open-meteo-archive
New Era Field,2022-10-09,51.8,40.9,0.047,0.0,open-meteo-archive
Raymond James Stadium,2022-10-09,74.5,19.0,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2022-10-09,71.3,15.0,0.0,0.0,open-meteo-archive
Tottenham Stadium,2022-10-09,52.6,23.7,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-10-10,64.3,14.1,0.0,0.0,open-meteo-archive
Soldier Field,2022-10-13,49.2,38.7,0.024,0.0,open-meteo-archive
Acrisure Stadium,2022-10-16,51.0,21.3,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2022-10-16,51.7,20.4,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-10-16,57.8,30.0,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2022-10-16,77.5,22.1,0.028,0.0,open-meteo-archive
Lambeau Field,2022-10-16,43.9,23.9,0.063,0.0,open-meteo-archive
Lincoln Financial Field,2022-10-16,57.6,12.3,0.004,0.0,open-meteo-archive
Lucas Oil Stadium,2022-10-16,52.0,23.5,0.0,0.0,open-meteo-archive
Lumen Field,2022-10-16,64.8,21.5,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2022-10-16,64.5,15.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-10-16,56.1,21.0,0.0,0.0,open-meteo-archive
State Farm Stadium,2022-10-20,72.8,18.1,0.0,0.0,open-meteo-archive
Bank of America Stadium,2022-10-23,56.4,13.0,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-10-23,58.1,34.4,0.0,0.0,open-meteo-archive
FedExField,2022-10-23,53.2,16.8,0.146,0.0,open-meteo-archive
Hard Rock Stadium,2022-10-23,71.9,21.5,0.004,0.0,open-meteo-archive
Levi's Stadium,2022-10-23,58.3,25.9,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2022-10-23,53.3,15.0,0.083,0.0,open-meteo-archive
Nissan Stadium,2022-10-23,65.9,22.8,0.0,0.0,open-meteo-archive
Paycor Stadium,2022-10-23,64.5,20.1,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2022-10-23,62.8,18.8,0.0,0.0,open-meteo-archive
Gillette Stadium,2022-10-24,54.8,20.1,0.287,0.0,open-meteo-archive
Raymond James Stadium,2022-10-27,75.0,13.9,0.079,0.0,open-meteo-archive
AT&T Stadium,2022-10-30,61.4,18.6,0.008,0.0,open-meteo-archive
Lincoln Financial Field,2022-10-30,50.3,8.7,0.0,0.0,open-meteo-archive
Lumen Field,2022-10-30,52.3,32.4,0.146,0.0,open-meteo-archive
MetLife Stadium,2022-10-30,48.9,11.2,0.0,0.0,open-meteo-archive
New Era Field,2022-10-30,49.3,17.7,0.0,0.0,open-meteo-archive
Wembley Stadium,2022-10-30,57.0,25.9,0.043,0.0,open-meteo-archive
FirstEnergy Stadium,2022-10-31,58.9,22.4,0.228,0.0,open-meteo-archive
FedExField,2022-11-06,68.9,26.2,0.61,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-11-06,53.1,29.1,0.0,0.0,open-meteo-archive
Gillette Stadium,2022-11-06,67.7,33.3,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2022-11-06,70.4,30.4,0.008,0.0,open-meteo-archive
MetLife Stadium,2022-11-06,67.5,25.7,0.122,0.0,open-meteo-archive
Paycor Stadium,2022-11-06,63.0,30.4,0.02,0.0,open-meteo-archive
Raymond James Stadium,2022-11-06,76.5,24.6,0.031,0.0,open-meteo-archive
Soldier Field,2022-11-06,50.4,40.0,0.0,0.0,open-meteo-archive
State Farm Stadium,2022-11-06,59.0,12.5,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2022-11-06,74.5,21.5,0.102,0.0,open-meteo-archive
Bank of America Stadium,2022-11-10,56.2,32.0,0.244,0.0,open-meteo-archive
Acrisure Stadium,2022-11-13,37.3,27.7,0.004,0.0,open-meteo-archive
Allianz Arena,2022-11-13,41.9,16.3,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-11-13,27.7,16.6,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2022-11-13,73.7,13.2,0.268,0.0,open-meteo-archive
Lambeau Field,2022-11-13,29.7,19.7,0.0,0.0,open-meteo-archive
Levi's Stadium,2022-11-13,50.9,17.7,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-11-13,53.1,30.9,0.138,0.0,open-meteo-archive
New Era Field,2022-11-13,38.2,26.6,0.146,0.3689,open-meteo-archive
Nissan Stadium,2022-11-13,34.6,18.3,0.0,0.0,open-meteo-archive
Soldier Field,2022-11-13,32.7,20.4,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2022-11-14,41.1,20.8,0.0,0.0,open-meteo-archive
Lambeau Field,2022-11-17,27.0,24.6,0.0,0.076,open-meteo-archive
Acrisure Stadium,2022-11-20,25.4,30.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-11-20,30.0,12.5,0.0,0.0,open-meteo-archive
Gillette Stadium,2022-11-20,31.7,41.2,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2022-11-20,32.7,27.7,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-11-20,34.0,37.8,0.0,0.0217,open-meteo-archive
Azteca Stadium,2022-11-21,57.1,18.6,0.315,0.0,open-meteo-archive
Bank of America Stadium,2022-11-27,57.9,37.4,0.563,0.0,open-meteo-archive
FedExField,2022-11-27,50.4,32.7,0.28,0.0,open-meteo-archive
FirstEnergy Stadium,2022-11-27,47.4,30.2,0.39,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-11-27,44.0,26.4,0.988,0.0,open-meteo-archive
Hard Rock Stadium,2022-11-27,76.8,18.6,0.087,0.0,open-meteo-archive
Levi's Stadium,2022-11-27,52.7,14.5,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2022-11-27,47.0,26.8,0.358,0.0,open-meteo-archive
Lumen Field,2022-11-27,44.5,45.2,0.256,0.0,open-meteo-archive
MetLife Stadium,2022-11-27,46.8,31.5,0.299,0.0,open-meteo-archive
Nissan Stadium,2022-11-27,56.1,32.9,0.803,0.0,open-meteo-archive
TIAA Bank Stadium,2022-11-27,71.3,34.2,0.031,0.0,open-meteo-archive
Gillette Stadium,2022-12-01,40.0,46.1,0.583,0.0,open-meteo-archive
Levi's Stadium,2022-12-04,51.6,16.8,0.331,0.0,open-meteo-archive
Lincoln Financial Field,2022-12-04,41.6,29.8,0.004,0.0,open-meteo-archive
M&T Bank Stadium,2022-12-04,40.7,21.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-12-04,41.3,28.4,0.004,0.0,open-meteo-archive
Paycor Stadium,2022-12-04,30.0,13.9,0.0,0.0,open-meteo-archive
Soldier Field,2022-12-04,27.0,23.9,0.0,0.0,open-meteo-archive
Raymond James Stadium,2022-12-05,68.1,10.7,0.0,0.0,open-meteo-archive
Acrisure Stadium,2022-12-11,41.0,19.9,0.035,0.0,open-meteo-archive
Empower Field at Mile High,2022-12-11,36.6,21.7,0.0,0.0,open-meteo-archive
Levi's Stadium,2022-12-11,49.9,18.8,1.016,0.0,open-meteo-archive
Lumen Field,2022-12-11,42.5,17.2,0.087,0.0,open-meteo-archive
MetLife Stadium,2022-12-11,37.4,20.8,0.169,0.011,open-meteo-archive
New Era Field,2022-12-11,35.6,25.9,0.102,0.3146,open-meteo-archive
Nissan Stadium,2022-12-11,50.5,17.2,0.004,0.0,open-meteo-archive
Paycor Stadium,2022-12-11,43.9,15.9,0.0,0.0,open-meteo-archive
Lumen Field,2022-12-15,37.6,16.1,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2022-12-17,31.5,25.1,0.0,0.0543,open-meteo-archive
New Era Field,2022-12-17,32.1,34.0,0.004,0.9764,open-meteo-archive
Bank of America Stadium,2022-12-18,38.1,19.9,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2022-12-18,25.4,10.7,0.0,0.0,open-meteo-archive
FedExField,2022-12-18,35.0,32.0,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-12-18,33.8,25.1,0.0,0.0,open-meteo-archive
Raymond James Stadium,2022-12-18,60.8,19.9,0.091,0.0,open-meteo-archive
Soldier Field,2022-12-18,21.0,25.9,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2022-12-18,51.9,17.7,0.0,0.0,open-meteo-archive
Lambeau Field,2022-12-19,8.3,19.2,0.0,0.0,open-meteo-archive
MetLife Stadium,2022-12-22,35.9,26.2,0.165,0.0,open-meteo-archive
Acrisure Stadium,2022-12-24,1.9,47.9,0.0,0.0217,open-meteo-archive
Bank of America Stadium,2022-12-24,17.8,28.6,0.0,0.0,open-meteo-archive
FirstEnergy Stadium,2022-12-24,3.1,54.6,0.0,0.0976,open-meteo-archive
GEHA Field at Arrowhead Stadium,2022-12-24,10.7,29.5,0.0,0.0,open-meteo-archive
Gillette Stadium,2022-12-24,16.2,47.0,0.0,0.0,open-meteo-archive
Levi's Stadium,2022-12-24,50.0,11.9,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2022-12-24,11.8,38.7,0.0,0.0,open-meteo-archive
Nissan Stadium,2022-12-24,12.8,22.8,0.0,0.0,open-meteo-archive
Soldier Field,2022-12-24,4.0,42.1,0.0,0.0217,open-meteo-archive
Hard Rock Stadium,2022-12-25,45.8,20.1,0.232,0.0,open-meteo-archive
State Farm Stadium,2022-12-25,54.9,11.0,0.0,0.0,open-meteo-archive
Nissan Stadium,2022-12-29,49.4,25.7,0.165,0.0,open-meteo-archive
FedExField,2023-01-01,53.0,19.9,0.217,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-01-01,43.1,15.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2023-01-01,50.1,29.3,0.433,0.0,open-meteo-archive
Lambeau Field,2023-01-01,33.0,21.3,0.0,0.0543,open-meteo-archive
Lincoln Financial Field,2023-01-01,51.2,17.7,0.449,0.0,open-meteo-archive
Lumen Field,2023-01-01,41.6,8.5,0.028,0.0,open-meteo-archive
M&T Bank Stadium,2023-01-01,51.9,19.0,0.264,0.0,open-meteo-archive
MetLife Stadium,2023-01-01,49.9,20.4,0.248,0.0,open-meteo-archive
Raymond James Stadium,2023-01-01,70.3,18.3,0.024,0.0,open-meteo-archive
TIAA Bank Stadium,2023-01-07,50.9,11.6,0.0,0.0,open-meteo-archive
Acrisure Stadium,2023-01-08,33.1,14.3,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-01-08,20.8,10.7,0.0,0.0,open-meteo-archive
FedExField,2023-01-08,36.4,17.7,0.0,0.0,open-meteo-archive
Hard Rock Stadium,2023-01-08,68.1,16.8,0.0,0.0,open-meteo-archive
Lambeau Field,2023-01-08,21.4,18.8,0.0,0.0,open-meteo-archive
Levi's Stadium,2023-01-08,55.3,37.4,1.004,0.0,open-meteo-archive
Lincoln Financial Field,2023-01-08,36.4,13.2,0.0,0.0,open-meteo-archive
Lumen Field,2023-01-08,44.2,28.9,0.268,0.0,open-meteo-archive
New Era Field,2023-01-08,28.8,15.4,0.0,0.0,open-meteo-archive
Paycor Stadium,2023-01-08,33.1,12.8,0.024,0.0,open-meteo-archive
Soldier Field,2023-01-08,30.9,11.9,0.0,0.0,open-meteo-archive
Levi's Stadium,2023-01-14,55.1,32.2,1.012,0.0,open-meteo-archive
TIAA Bank Stadium,2023-01-14,44.2,32.0,0.0,0.0,open-meteo-archive
New Era Field,2023-01-15,24.5,16.3,0.0,0.0,open-meteo-archive
Paycor Stadium,2023-01-15,28.8,16.3,0.0,0.0,open-meteo-archive
Raymond James Stadium,2023-01-16,48.0,13.0,0.0,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-01-21,31.5,9.4,0.035,0.1303,open-meteo-archive
Lincoln Financial Field,2023-01-21,39.2,23.3,0.0,0.0,open-meteo-archive
Levi's Stadium,2023-01-22,47.3,23.3,0.0,0.0,open-meteo-archive
New Era Field,2023-01-22,32.3,13.9,0.0,0.3256,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-01-29,21.8,25.7,0.0,0.0,open-meteo-archive
Lincoln Financial Field,2023-01-29,41.4,21.5,0.012,0.0,open-meteo-archive
GEHA Field at Arrowhead Stadium,2023-09-07,70.4,17.4,0.0,0.0,open-meteo-archive
Acrisure Stadium,2023-09-10,68.6,14.1,0.563,0.0,open-meteo-archive
Empower Field at Mile High,2023-09-10,64.5,22.8,0.059,0.0,open-meteo-archive
FedExField,2023-09-10,71.1,16.6,1.402,0.0,open-meteo-archive
FirstEnergy Stadium,2023-09-10,66.6,15.0,0.083,0.0,open-meteo-archive
Gillette Stadium,2023-09-10,71.4,19.7,0.433,0.0,open-meteo-archive
Lumen Field,2023-09-10,64.6,17.7,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2023-09-10,72.6,14.3,0.512,0.0,open-meteo-archive
MetLife Stadium,2023-09-10,71.6,16.3,0.484,0.0,open-meteo-archive
Soldier Field,2023-09-10,65.0,16.6,0.0,0.0,open-meteo-archive
MetLife Stadium,2023-09-11,72.9,15.0,0.717,0.0,open-meteo-archive
Lincoln Financial Field,2023-09-14,70.5,20.6,0.0,0.0,open-meteo-archive
AT&T Stadium,2023-09-17,76.6,12.8,0.0,0.0,open-meteo-archive
Empower Field at Mile High,2023-09-17,59.2,13.4,0.0,0.0,open-meteo-archive
Gillette Stadium,2023-09-17,64.9,27.5,0.0,0.0,open-meteo-archive
Mercedes-Benz Stadium,2023-09-17,69.7,22.4,0.079,0.0,open-meteo-archive
NRG Stadium,2023-09-17,80.5,17.0,0.012,0.0,open-meteo-archive
