game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
747197,2024-05-26,4.4136,4.4779,1,3
745254,2024-05-27,3.8396,4.1929,3,2
745338,2024-05-27,4.1154,4.3355,8,4
745416,2024-05-27,4.527,4.5318,2,1
745904,2024-05-27,4.4424,3.9245,6,5
745986,2024-05-27,4.5484,3.9028,5,1
746549,2024-05-27,4.172,4.8823,8,6
746708,2024-05-27,4.328,4.5127,3,1
746788,2024-05-27,4.3725,4.3378,1,5
747034,2024-05-27,4.1623,5.0026,11,3
747118,2024-05-27,5.1119,4.3476,4,8
745017,2024-05-28,4.5365,4.5299,4,2
745091,2024-05-28,3.9737,4.4194,0,3
745258,2024-05-28,4.2753,4.0308,4,2
745337,2024-05-28,3.8107,4.1944,1,0
745412,2024-05-28,4.4348,4.1043,4,0
745816,2024-05-28,4.262,4.1152,0,3
745818,2024-05-28,4.0332,4.2098,2,5
745903,2024-05-28,4.3913,3.7397,4,2
745987,2024-05-28,3.8929,4.2467,3,6
746229,2024-05-28,4.2213,4.5311,4,3
746552,2024-05-28,3.8478,4.8475,7,13
746709,2024-05-28,4.1813,4.5444,1,7
746791,2024-05-28,4.2762,4.3866,2,7
747033,2024-05-28,4.3375,4.1644,3,8
747115,2024-05-28,4.7006,4.3732,2,0
745011,2024-05-29,4.6866,4.7229,6,1
745084,2024-05-29,4.6093,4.1956,4,3
745250,2024-05-29,4.1462,3.8518,2,1
745333,2024-05-29,4.1438,4.1609,1,6
745414,2024-05-29,4.3763,4.486,1,9
745817,2024-05-29,4.1731,4.8281,3,10
745900,2024-05-29,4.0304,3.921,1,6
745988,2024-05-29,3.8422,3.9111,10,6
746228,2024-05-29,3.8459,4.4732,1,2
746467,2024-05-29,4.3723,4.2509,8,0
746468,2024-05-29,4.1846,4.2208,2,10
746551,2024-05-29,3.8489,5.2897,7,4
746706,2024-05-29,4.2256,4.8105,3,5
746790,2024-05-29,4.3713,4.4168,1,3
747031,2024-05-29,4.4233,4.2452,6,1
747117,2024-05-29,4.7185,4.5748,2,7
745081,2024-05-30,4.1111,3.8596,6,5
745249,2024-05-30,3.875,3.917,0,4
745819,2024-05-30,4.312,4.8884,3,2
745898,2024-05-30,3.8259,4.4402,7,6
745985,2024-05-30,4.678,3.7084,6,4
746225,2024-05-30,3.865,4.4634,3,8
746954,2024-05-30,4.0534,4.0882,0,5
747114,2024-05-30,4.4733,3.957,1,3
744928,2024-05-31,4.2791,4.3511,5,3
745253,2024-05-31,4.379,3.7695,5,4
745331,2024-05-31,3.7517,4.4414,2,6
745574,2024-05-31,4.3513,3.8548,4,2
745820,2024-05-31,4.3291,4.2044,10,9
745983,2024-05-31,5.0307,3.6662,12,5
746059,2024-05-31,5.0405,5.3825,8,2
746140,2024-05-31,4.3872,3.7451,1,4
746303,2024-05-31,4.023,4.2093,8,11
746387,2024-05-31,4.3963,4.1228,1,6
746635,2024-05-31,4.8516,3.8356,7,1
746877,2024-05-31,3.9946,3.7547,4,5
746955,2024-05-31,4.1047,4.4302,7,3
747032,2024-05-31,4.4873,3.9947,3,1
747116,2024-05-31,4.5233,4.2015,4,2
744932,2024-06-01,4.5698,3.7546,1,8
745251,2024-06-01,4.2642,4.162,9,0
745332,2024-06-01,3.8491,4.779,3,7
745575,2024-06-01,4.1188,3.8614,6,1
745812,2024-06-01,4.2757,4.1438,5,10
745980,2024-06-01,4.7718,3.7852,4,3
746062,2024-06-01,4.4053,4.4683,0,7
746138,2024-06-01,4.397,3.9132,4,1
746305,2024-06-01,4.2998,3.8663,3,7
746384,2024-06-01,4.0795,4.2261,5,2
746629,2024-06-01,4.8278,3.9053,3,2
746870,2024-06-01,3.909,4.0061,7,5
746952,2024-06-01,4.2968,4.2024,6,3
747029,2024-06-01,4.159,4.0507,9,5
747111,2024-06-01,4.2982,3.9294,9,11
744929,2024-06-02,4.6928,3.9492,5,4
745252,2024-06-02,4.3697,4.4185,5,1
745330,2024-06-02,4.5741,4.423,5,7
745572,2024-06-02,4.3323,3.8397,4,5
745813,2024-06-02,4.1611,4.2706,4,5
745984,2024-06-02,5.0819,3.832,6,3
746061,2024-06-02,4.1202,4.4503,0,6
746141,2024-06-02,4.609,3.7963,4,0
746301,2024-06-02,4.3319,3.8165,4,3
746383,2024-06-02,4.2638,4.4553,3,4
746632,2024-06-02,4.9738,4.068,2,5
746871,2024-06-02,4.195,3.7715,2,5
746953,2024-06-02,4.1414,4.2707,4,8
747030,2024-06-02,5.0012,3.7018,3,4
747110,2024-06-02,4.4364,4.6145,3,1
744854,2024-06-03,3.9333,4.3991,7,8
744930,2024-06-03,3.643,4.6008,2,7
745009,2024-06-03,4.1179,4.2501,1,2
745569,2024-06-03,4.6207,4.3009,3,1
746224,2024-06-03,4.2556,4.0329,2,1
746382,2024-06-03,4.4929,4.163,7,4
746548,2024-06-03,4.2799,4.6518,3,13
747194,2024-06-03,4.1414,4.5389,4,2
744850,2024-06-04,3.9782,4.9114,3,6
744931,2024-06-04,4.2808,4.6127,1,10
745010,2024-06-04,3.7273,4.4866,1,3
745497,2024-06-04,4.0081,4.5786,1,0
745568,2024-06-04,4.342,4.5437,2,1
745656,2024-06-04,4.1416,4.3139,3,4
745739,2024-06-04,4.8422,3.5348,5,1
746060,2024-06-04,4.5745,4.3254,5,9
746222,2024-06-04,3.9738,4.7736,4,2
746380,2024-06-04,4.8557,4.8817,8,5
746550,2024-06-04,4.4075,5.4674,1,4
746630,2024-06-04,3.9041,4.0898,8,5
746872,2024-06-04,4.3465,3.6653,7,6
746949,2024-06-04,3.9721,4.4059,3,8
747196,2024-06-04,3.9464,4.2081,8,5
744852,2024-06-05,4.3376,3.9761,1,9
744927,2024-06-05,4.0642,4.4188,3,2
745007,2024-06-05,3.9651,5.5999,9,1
745494,2024-06-05,4.6016,4.3486,10,6
745570,2024-06-05,4.5443,4.206,2,0
745654,2024-06-05,4.3481,4.3133,2,1
745740,2024-06-05,5.3801,3.5516,9,5
746056,2024-06-05,4.5237,4.6273,3,5
746221,2024-06-05,3.6544,4.2693,3,2
746379,2024-06-05,4.8934,4.3384,2,4
746544,2024-06-05,4.7378,4.7949,7,12
746873,2024-06-05,4.6342,4.0141,7,6
746950,2024-06-05,4.0289,4.4274,9,0
747195,2024-06-05,4.0206,4.9626,3,9
744844,2024-06-06,4.0708,4.4852,2,5
744923,2024-06-06,3.7884,4.568,6,5
745174,2024-06-06,4.3312,4.1557,2,3
745408,2024-06-06,4.5341,4.1638,3,4
745495,2024-06-06,4.3882,4.4509,7,11
745657,2024-06-06,4.3927,4.2816,0,3
745738,2024-06-06,4.7131,3.7612,8,5
746631,2024-06-06,4.2497,4.0109,3,4
746707,2024-06-06,4.1106,4.4649,8,4
746784,2024-06-06,4.1716,5.4579,2,14
744845,2024-06-07,4.1749,4.4227,2,1
745008,2024-06-07,4.1898,4.5123,2,5
745083,2024-06-07,4.2347,4.7301,3,6
745169,2024-06-07,4.1899,4.3215,8,5
745406,2024-06-07,4.5293,4.4552,10,3
745496,2024-06-07,4.1385,4.0658,3,0
745655,2024-06-07,4.0623,4.6962,2,1
745737,2024-06-07,4.8627,3.6233,1,2
746053,2024-06-07,4.44,4.4257,3,2
746220,2024-06-07,4.0527,4.5188,1,7
746302,2024-06-07,4.2977,4.036,10,9
746466,2024-06-07,4.1529,4.3951,0,10
746704,2024-06-07,4.3784,4.0664,3,2
746785,2024-06-07,4.2945,4.1309,7,2
